customer,age,income,purchase,gender,churn,date
1,56,2049396,48,Male,0,2024-04-12
2,69,828861,37,Female,0,2025-03-11
3,46,861614,79,Female,0,2026-05-10
4,32,879574,44,Male,0,2024-09-27
5,60,698870,15,Male,1,2024-04-16
6,25,2499998,43,Male,0,2024-03-12
7,38,866997,48,Female,0,2025-12-01
8,56,1926351,87,Female,0,2024-01-21
9,36,1272647,70,Male,0,2025-09-06
10,40,1831107,46,Male,0,2024-05-01
11,28,1228455,43,Male,0,2025-04-11
12,28,1112259,21,Female,1,2024-08-02
13,41,2469464,23,Female,0,2024-11-26
14,70,1505794,80,Female,0,2025-04-03
15,53,1463455,47,Male,1,2024-03-28
16,57,1612290,15,Male,0,2025-01-07
17,41,2150367,25,Female,1,2024-04-09
18,20,2110705,36,Male,0,2026-05-21
19,39,1801596,75,Female,0,2025-10-25
20,70,1128818,51,Male,0,2024-05-10
21,19,2354260,15,Male,0,2025-10-23
22,41,1729297,68,Male,0,2024-11-04
23,61,1359771,21,Male,1,2026-02-08
24,47,1285244,13,Female,1,2024-12-09
25,55,2427712,86,Male,0,2025-05-06
26,19,1247172,19,Female,0,2025-02-17
27,38,2445131,34,Female,0,2026-03-16
28,50,1398425,78,Female,0,2025-01-20
29,29,251745,68,Male,1,2024-07-10
30,39,2294157,52,Female,1,2024-10-03
31,61,291865,27,Female,1,2024-06-09
32,42,1461466,29,Female,1,2025-04-04
33,66,1272200,28,Male,0,2024-11-09
34,44,2320473,35,Male,1,2024-01-22
35,59,1422869,8,Female,0,2024-09-09
36,45,2483869,16,Male,1,2026-01-17
37,33,1629551,36,Female,0,2026-05-06
38,32,2481020,30,Female,1,2025-07-14
39,64,2392409,18,Male,1,2025-04-19
40,68,788579,2,Female,1,2024-02-28
41,61,2487623,49,Male,0,2025-05-25
42,72,1114032,77,Male,0,2025-11-12
43,69,1767438,4,Female,0,2025-04-20
44,74,2166382,90,Male,0,2025-11-30
45,20,1724350,89,Male,0,2026-02-21
46,54,1117559,94,Female,0,2024-07-08
47,68,835605,75,Female,1,2025-11-17
48,24,589593,7,Male,1,2025-07-16
49,38,1015131,95,Male,0,2026-05-25
50,26,267661,74,Female,0,2025-07-20
51,56,1920684,39,Male,0,2024-08-31
52,35,1394682,13,Male,0,2026-04-11
53,21,2278007,31,Male,0,2025-05-19
54,42,1507506,71,Male,0,2024-05-10
55,31,2171206,63,Male,0,2025-04-29
56,67,1053499,56,Male,0,2026-03-29
57,26,318033,42,Male,0,2025-10-08
58,43,830265,61,Female,0,2024-01-21
59,70,1878050,42,Female,0,2026-04-20
60,19,1415502,56,Female,0,2024-06-15
61,37,1819135,36,Female,0,2024-09-30
62,45,631734,84,Female,0,2025-01-22
63,64,1621796,68,Male,1,2025-08-23
64,24,2298214,7,Male,1,2024-11-11
65,61,2392614,54,Male,0,2024-01-14
66,25,1648021,1,Male,0,2024-08-29
67,64,1698585,44,Female,0,2026-02-15
68,52,970173,45,Male,0,2024-12-11
69,31,858956,47,Male,0,2025-07-18
70,34,1647960,13,Female,0,2026-06-16
71,53,1880963,22,Male,1,2024-12-05
72,67,667010,21,Male,1,2024-04-01
73,57,1855016,86,Female,0,2025-01-01
74,21,1897900,92,Male,0,2025-03-30
75,19,586193,9,Male,1,2025-03-03
76,23,226734,26,Male,1,2025-05-23
77,71,1123875,9,Male,1,2026-02-14
78,59,2323221,15,Male,0,2026-07-31
79,21,737198,10,Female,0,2024-02-04
80,71,1584199,88,Female,0,2024-07-24
81,46,281264,42,Female,0,2024-03-21
82,35,223275,72,Female,0,2026-07-20
83,43,2488228,24,Female,0,2025-07-15
84,61,1202163,80,Female,0,2026-05-21
85,51,1958489,49,Male,1,2025-01-22
86,27,772735,26,Female,0,2024-01-02
87,53,2200609,91,Female,0,2025-01-24
88,31,1112826,37,Male,1,2025-07-19
89,48,1062522,68,Male,1,2024-04-15
90,65,1003692,50,Female,1,2026-02-10
91,32,1361157,24,Male,0,2026-04-01
92,25,1514532,19,Female,0,2025-04-21
93,31,621240,60,Male,1,2025-12-03
94,40,1144789,39,Female,0,2025-02-05
95,74,2413573,74,Male,0,2025-12-30
96,57,725893,89,Male,0,2025-07-09
97,38,2369455,18,Female,1,2024-06-10
98,33,2455363,19,Female,1,2024-07-20
99,62,1194653,36,Female,1,2024-09-26
100,35,387210,74,Female,0,2026-05-12
101,64,1062557,97,Female,0,2026-03-26
102,70,2442142,55,Male,0,2024-09-27
103,41,1407094,69,Female,0,2025-03-31
104,43,2421192,47,Female,0,2025-04-06
105,42,868406,49,Male,1,2025-12-27
106,62,618034,99,Male,1,2024-09-08
107,58,1233255,98,Female,0,2025-12-02
108,46,995543,33,Male,0,2024-10-22
109,32,740677,21,Male,0,2025-12-25
110,62,1895041,81,Female,0,2025-12-20
111,18,1932682,22,Male,0,2026-01-18
112,42,1371459,48,Male,1,2024-12-03
113,24,1991822,37,Female,0,2026-05-28
114,26,2166197,15,Female,1,2024-02-22
115,41,587952,35,Male,1,2026-03-02
116,18,2409373,92,Male,0,2026-07-10
117,61,1230117,71,Female,1,2024-08-04
118,25,725134,32,Male,1,2026-02-02
119,41,1589959,11,Male,1,2024-07-06
120,28,444761,10,Male,1,2025-01-14
121,68,2434693,73,Female,0,2025-05-07
122,34,1147609,78,Male,0,2024-02-10
123,25,2077109,77,Male,0,2024-06-05
124,52,264323,57,Female,0,2024-01-15
125,52,1437715,25,Male,1,2026-03-23
126,50,1154480,2,Male,0,2024-03-05
127,22,1054016,64,Female,0,2026-05-06
128,59,1353113,35,Female,1,2026-04-18
129,56,1064909,7,Female,0,2025-06-04
130,58,1815397,85,Female,0,2024-12-09
131,45,988260,18,Male,1,2024-05-08
132,24,1250493,67,Male,0,2025-10-09
133,26,482762,42,Female,1,2025-04-16
134,25,1805118,39,Female,0,2024-03-03
135,29,1616012,41,Male,0,2024-05-18
136,51,1758506,75,Female,1,2025-05-13
137,50,771650,24,Male,0,2025-08-15
138,65,482272,60,Female,0,2025-01-26
139,72,585925,46,Male,0,2025-11-05
140,40,914743,19,Female,1,2025-02-22
141,41,603081,68,Female,0,2024-10-15
142,54,578892,90,Male,0,2025-01-13
143,52,205287,42,Female,0,2026-02-11
144,61,1506241,32,Male,0,2025-05-04
145,57,856702,39,Male,1,2024-08-18
146,39,2185296,36,Male,1,2024-02-10
147,44,2283592,97,Male,0,2024-01-28
148,52,2390222,36,Male,0,2024-05-14
149,18,1678050,3,Female,1,2024-07-19
150,52,1211293,73,Female,1,2026-04-19
151,54,1290654,8,Male,1,2026-02-18
152,64,807812,97,Female,0,2026-07-18
153,31,986667,70,Male,1,2024-02-02
154,20,1553649,41,Female,1,2024-02-17
155,18,1375885,68,Female,0,2025-05-17
156,22,1578164,13,Female,0,2025-02-10
157,43,1912503,49,Female,0,2025-07-27
158,72,1584418,60,Male,0,2025-12-28
159,31,586594,2,Male,0,2026-03-15
160,56,1292501,60,Female,0,2024-04-08
161,44,1244027,5,Female,0,2025-11-14
162,26,337023,44,Male,1,2026-05-21
163,32,1335964,27,Female,1,2025-12-26
